Id,OpenPoints,ClosedPoints,InitialConform,Window
0,2.6666666666666665,0.0,0.0,1
1,3.333333333333333,0.0,0.0,2
2,4.0,0.0,0.0,3
3,4.666666666666666,0.0,0.0,4
4,5.333333333333333,0.0,0.0,5
5,6.0,0.0,0.0,6
6,2.6666666666666665,0.6666666666666666,0.0,7
7,3.333333333333333,0.6666666666666666,0.0,8
8,4.0,0.6666666666666666,0.0,9
9,4.666666666666666,0.6666666666666666,0.0,10
10,5.333333333333333,0.6666666666666666,0.0,11
11,6.0,0.6666666666666666,0.0,12
12,2.0,1.3333333333333333,0.0,13
13,2.6666666666666665,1.3333333333333333,0.0,14
14,3.333333333333333,1.3333333333333333,0.0,15
15,4.0,1.3333333333333333,0.0,16
16,4.666666666666666,1.3333333333333333,0.0,17
17,5.333333333333333,1.3333333333333333,0.0,18
18,6.0,1.3333333333333333,0.0,19
19,1.3333333333333333,2.0,0.0,20
20,2.0,2.0,0.0,21
21,2.6666666666666665,2.0,0.0,22
22,3.333333333333333,2.0,0.0,23
23,4.0,2.0,0.0,24
24,4.666666666666666,2.0,0.0,25
25,5.333333333333333,2.0,0.0,26
26,6.0,2.0,0.0,27
27,0.0,2.6666666666666665,0.0,28
28,0.6666666666666666,2.6666666666666665,0.0,29
29,1.3333333333333333,2.6666666666666665,0.0,30
30,2.0,2.6666666666666665,0.0,31
31,2.6666666666666665,2.6666666666666665,0.0,32
32,3.333333333333333,2.6666666666666665,0.0,33
33,4.0,2.6666666666666665,0.0,34
34,4.666666666666666,2.6666666666666665,0.0,35
35,5.333333333333333,2.6666666666666665,0.0,36
36,6.0,2.6666666666666665,0.0,37
37,0.0,3.333333333333333,0.0,38
38,0.6666666666666666,3.333333333333333,0.0,39
39,1.3333333333333333,3.333333333333333,0.0,40
40,2.0,3.333333333333333,0.0,41
41,2.6666666666666665,3.333333333333333,0.0,42
42,3.333333333333333,3.333333333333333,0.0,43
43,4.0,3.333333333333333,0.0,44
44,4.666666666666666,3.333333333333333,0.0,45
45,5.333333333333333,3.333333333333333,0.0,46
46,6.0,3.333333333333333,0.0,47
47,0.0,4.0,0.0,48
48,0.6666666666666666,4.0,0.0,49
49,1.3333333333333333,4.0,0.0,50
50,2.0,4.0,0.0,51
51,2.6666666666666665,4.0,0.0,52
52,3.333333333333333,4.0,0.0,53
53,4.0,4.0,0.0,54
54,4.666666666666666,4.0,0.0,55
55,5.333333333333333,4.0,0.0,56
56,6.0,4.0,0.0,57
57,0.0,4.666666666666666,0.0,58
58,0.6666666666666666,4.666666666666666,0.0,59
